run_id,portfolio_id,portfolio_name,question_id,question_category,status_code,overall_score,issues,warnings_count
cache_quality__q077,cache_quality,Cache Quality Blend,q077,messy_natural_language,200,4.76,warnings_present,1
cache_rates_sensitive__q078,cache_rates_sensitive,Cache Rates Sensitive,q078,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q079,cache_tech_core,Cache Tech Core,q079,messy_natural_language,200,4.66,warnings_present,1
cache_ten_name__q080,cache_ten_name,Cache Ten Name,q080,messy_natural_language,200,4.66,warnings_present,1
cache_all_weatherish__q081,cache_all_weatherish,Cache All-Weather-ish,q081,messy_natural_language,200,4.76,warnings_present,1
cache_balanced__q082,cache_balanced,Cache Balanced,q082,messy_natural_language,200,4.66,warnings_present,1
cache_barbell__q083,cache_barbell,Cache Barbell,q083,messy_natural_language,200,4.66,warnings_present,1
cache_big_tech_plus__q084,cache_big_tech_plus,Cache Big Tech Plus,q084,messy_natural_language,200,4.66,warnings_present,1
cache_defensive_growth__q085,cache_defensive_growth,Cache Defensive Growth,q085,windowed,500,0.0,technical_failure,0
cache_drawdown_test__q086,cache_drawdown_test,Cache Drawdown Test,q086,windowed,500,0.0,technical_failure,0
cache_energy_finance__q087,cache_energy_finance,Cache Energy + Finance,q087,windowed,500,0.0,technical_failure,0
cache_energy_hedge__q088,cache_energy_hedge,Cache Energy Hedge,q088,windowed,200,4.66,warnings_present,1
cache_five_name__q089,cache_five_name,Cache Five Name,q089,windowed,500,0.0,technical_failure,0
cache_growth_barbell__q090,cache_growth_barbell,Cache Growth Barbell,q090,filings_overlay,200,4.66,warnings_present,1
cache_health_focus__q091,cache_health_focus,Cache Healthcare Focus,q091,earnings_overlay,200,4.14,planner_mismatch;warnings_present,1
cache_health_quality__q092,cache_health_quality,Cache Health Quality,q092,earnings_overlay,200,4.14,planner_mismatch;warnings_present,1
cache_high_beta__q093,cache_high_beta,Cache High Beta,q093,filings_overlay,200,4.66,warnings_present,1
cache_macro_mix__q094,cache_macro_mix,Cache Macro Mix,q094,what_if_addition,200,4.76,warnings_present,1
cache_momentum__q095,cache_momentum,Cache Momentum,q095,drawdown_risk,200,4.14,planner_mismatch;warnings_present,1
cache_platforms__q096,cache_platforms,Cache Platforms,q096,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_quality__q097,cache_quality,Cache Quality Blend,q097,risk_adjusted_returns,200,4.76,warnings_present,1
cache_rates_sensitive__q098,cache_rates_sensitive,Cache Rates Sensitive,q098,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q099,cache_tech_core,Cache Tech Core,q099,benchmark_underperformance,200,4.66,warnings_present,1
cache_ten_name__q100,cache_ten_name,Cache Ten Name,q100,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
